Sample	CSU-TB-02194	CSU-TB-02195	CSU-TB-02196	CSU-TB-02197	CSU-TB-02198	CSU-TB-02199	CSU-TB-02200	CSU-TB-02201	CSU-TB-02202	CSU-TB-02203	CSU-TB-02204	CSU-TB-02205	CSU-TB-02206	CSU-TB-02207	CSU-TB-02423	CSU-TB-02424	CSU-TB-02425	CSU-TB-02426	CSU-TB-02427	CSU-TB-02428	CSU-TB-02430	CSU-TB-02431	CSU-TB-02433	CSU-TB-02434	CSU-TB-02435	CSU-TB-02436	CSU-TB-02437	CSU-TB-02442
Label	Activation	Activation	Activation	Activation	Activation	Activation	Activation	Activation	Activation	Activation	Activation	Activation	Activation	Activation	Incident	Incident	Incident	Incident	Incident	Incident	Incident	Incident	Incident	Incident	Incident	Activation	Incident	Incident
115.06293_1.5301	0.962155386	0.961420082	0.972545844	0.936284073	1.041895977	0.93484845	0.87787484	0.981359182	0.875332604	0.94656988	0.954679532	0.916003585	0.932774899	0.924870971	0.963530595	1.024647033	0.965433243	1.002006631	0.97113078	1.017000451	0.930902187	1.033501497	1.018467919	0.911244877	1.012955135	1.014014874	0.910293354	0.986021274
115.06945_1.5309	1.127991031	1.121529137	1.131148729	1.103962781	1.228538858	1.090390067	1.023655644	1.149703505	1.029438239	1.105167231	1.114600882	1.074123918	1.091838236	1.078106263	1.129660706	1.205309188	1.133035567	1.174728472	1.138096013	1.186035736	1.090507342	1.222456802	1.199508756	1.066818456	1.188592219	1.186786414	1.06840995	1.15625217
118.0262_3.6453	0.227276952	0.466695817	0.77193096	0.219710153	0.53975337	0.849301815	0.85313723	0.684292512	0.703915409	0.930614827	0.861817867	0.750219721	0.79529061	0.656087476	0.890698492	0.853209646	0.964822589	0.877591656	0.606576256	0.915218401	0.746172195	0.873317117	0.881653776	0.964049729	0.892190106	0.839067367	0.93632058	0.712549847
118.08622_1.5358	1.146239993	1.102657622	0.932146903	1.168500796	1.235886427	1.126372997	1.080092619	1.092733892	1.051572053	1.06958481	1.097899592	1.103540758	1.077215806	0.898024529	1.12867122	1.231558639	1.270060638	1.223068875	1.182751613	1.188589629	1.199570251	1.153953897	1.233902379	1.152467605	1.306438029	1.226640256	1.177960778	1.133976574
119.01599_5.9908	0.878828846	0.751753727	0.764949115	0.678287768	0.887524912	0.704794225	0.673504665	0.890318782	0.653516214	0.778249539	0.661020904	0.713453183	0.757415491	0.795209455	0.816561251	1.135880466	0.866381645	0.972910685	0.874220678	0.874073644	0.823620852	0.802269539	0.883322756	0.845541261	0.990640237	0.912722439	0.730116643	0.889669742
119.08952_1.5361	0.823679855	0.806367446	0.95876125	0.894216348	0.955856414	0.825818488	0.840615454	0.852281341	0.776211814	0.816191541	0.803625304	0.823405044	0.795347523	0.772889008	0.841045079	0.937419417	0.974057953	0.889556131	0.870933729	0.86734495	0.893549057	0.857469458	0.941875283	0.840217011	1.018416253	0.936384634	0.887844095	0.841281797
120.08078_8.7451	1.17162373	1.27905486	1.253494807	1.111321657	1.297169335	1.196283545	1.140887451	1.283888044	1.110626335	1.260245022	1.223059204	1.237385422	1.193634157	1.1765231	1.208606773	1.372668271	1.27979629	1.33698601	1.366791793	1.336196673	1.234938728	1.199783875	1.237844325	1.207150417	1.327431593	1.373595375	1.164696562	1.260630494
121.03954_2.3359	1.079078669	1.294497681	0.232584564	0.378716519	0.607560418	1.137304076	0.216756083	0.545979349	0.219122336	0.226914149	0.22170948	0.226445335	1.21355309	0.224156019	0.231226856	0.241146873	0.239831777	0.237569706	0.233912035	0.242978108	0.233952895	0.239616135	0.23798051	0.234071521	0.592553361	0.412265128	0.235009349	0.234131771
122.05756_9.0115	1.182675889	1.107566001	0.970282457	1.095228444	0.894826392	1.092367541	1.012595179	1.035983982	0.962359269	0.977836831	0.895136103	1.032246295	0.555166785	1.036022663	1.169178017	1.120044079	1.145562682	1.058785008	1.175193075	1.114316448	1.173457439	1.081058621	1.189575699	1.120800887	0.982213588	1.06708781	1.016566008	1.030122899
124.03922_2.2744	1.383003326	1.464255623	0.713272874	0.594763574	0.561527571	1.385820797	0.556673256	0.57068923	0.558732166	0.644794973	0.63815418	0.499328208	1.370898274	0.783113633	0.665023391	0.691084895	0.584853425	0.63777302	0.359163974	0.617993196	0.354781569	0.535512508	0.569863505	0.576535361	0.775477328	0.704974073	0.62689173	0.355407269
124.0504_8.841	0.797275682	0.803091904	0.663523802	0.227162476	0.236283182	0.733062388	0.730857073	0.761481337	0.823320056	0.856571444	0.854739397	0.89868818	0.740664003	0.751995322	1.035753719	0.944076308	0.873538713	0.916076856	0.836134124	0.882424606	0.676328437	0.843240778	0.835616321	0.862553083	0.595782028	1.100031069	0.798057686	0.888259984
125.04258_2.2639	1.105070997	1.218147887	0.22999911	0.218591339	0.226241681	1.115199645	0.216057667	0.224749973	0.219561691	0.222900746	0.220426198	0.222611598	1.102085843	0.379671155	0.22995022	0.236442108	0.238738162	0.236089514	0.234780384	0.237410175	0.231398356	0.234756388	0.235443577	0.23065667	0.23031913	0.23530538	0.231088667	0.231204741
125.05957_14.9478	0.839528066	0.875780752	0.89585976	0.768301578	0.93918632	0.895849113	0.819359082	0.888545949	0.761189003	0.970273038	0.885350751	0.831304096	0.789907482	0.868150601	0.835922402	0.978473137	0.944045521	0.932574146	0.87445453	0.918976245	0.904616998	0.862486762	0.901259566	0.830937201	0.936101124	0.996512834	0.962321154	0.960311898
125.09598_20.6508	0.806912343	0.950952878	0.982732072	0.83872524	0.934982493	0.961217638	0.907148554	0.87789302	0.606363977	1.062791453	0.808002519	0.903232397	0.616256214	0.916774384	0.936462659	1.071514042	0.990569665	1.104893927	1.036648714	1.087819247	0.646134714	0.989226657	1.055208103	0.864909507	1.018416253	1.148331452	1.0948666	0.884311881
125.11198_8.6348	0.927544577	0.930295867	0.929979877	0.929547152	0.915332393	0.919715515	0.912892688	0.930260088	0.930406808	0.916754287	0.919943995	0.921421237	0.919351121	0.918432777	0.926535414	0.939314329	0.945703192	0.941967639	0.942570129	0.950660834	0.93878143	0.94975866	0.939661877	0.942666496	0.944396404	0.948004572	0.93613037	0.945101104
